week,category,weekly_rank,show_title,weekly_hours_viewed,cumulative_weeks_in_top_10
16/01/2022,Films (English),1,Brazen,45340000,1
16/01/2022,Films (English),2,Don't Look Up,28390000,4
16/01/2022,Films (English),3,Mother/Android,23170000,2
16/01/2022,Films (English),4,The Secret Life of Pets 2,9390000,1
16/01/2022,Films (English),5,Just Go With It,8790000,3
16/01/2022,Films (English),6,Red Notice,8710000,10
16/01/2022,Films (English),7,Back to the Outback,8710000,6
16/01/2022,Films (English),8,Tides,8470000,1
16/01/2022,Films (English),9,Riverdance: The Animated Adventure,7860000,1
16/01/2022,Films (English),10,The Clovehitch Killer,7000000,1
16/01/2022,Films (Non-English),1,How I Fell in Love with a Gangster,11510000,2
16/01/2022,Films (Non-English),2,Four to Dinner,4750000,2
16/01/2022,Films (Non-English),3,The Wasteland,4640000,2
16/01/2022,Films (Non-English),4,Chandigarh Kare Aashiqui,4610000,2
16/01/2022,Films (Non-English),5,Photocopier,4440000,1
16/01/2022,Films (Non-English),6,Major Grom: Plague Doctor,3120000,6
16/01/2022,Films (Non-English),7,Minnal Murali,2510000,4
16/01/2022,Films (Non-English),8,Vicky and Her Mystery,2070000,4
16/01/2022,Films (Non-English),9,Lulli,2000000,3
16/01/2022,Films (Non-English),10,Sin Nombre,1830000,2
16/01/2022,TV (English),1,Stay Close,53720000,3
16/01/2022,TV (English),2,Cobra Kai,41240000,3
16/01/2022,TV (English),3,The Witcher,34350000,5
16/01/2022,TV (English),4,Emily in Paris,30020000,4
16/01/2022,TV (English),5,Cheer,29080000,1
16/01/2022,TV (English),6,Manifest,28120000,8
16/01/2022,TV (English),7,Archive 81,22220000,1
16/01/2022,TV (English),8,The Witcher,18580000,6
16/01/2022,TV (English),9,Manifest,14810000,3
16/01/2022,TV (English),10,Cobra Kai,13950000,2
16/01/2022,TV (Non-English),1,Café con aroma de mujer,98850000,3
16/01/2022,TV (Non-English),2,The Queen of Flow,24210000,9
16/01/2022,TV (Non-English),3,Rebelde,23880000,2
16/01/2022,TV (Non-English),4,Single’s Inferno,19250000,3
16/01/2022,TV (Non-English),5,Our Beloved Summer,18710000,4
16/01/2022,TV (Non-English),6,Undercover,16830000,1
16/01/2022,TV (Non-English),7,Money Heist,13000000,13
16/01/2022,TV (Non-English),8,Undercover,12070000,1
16/01/2022,TV (Non-English),9,Carinha de Anjo,11860000,13
16/01/2022,TV (Non-English),10,Squid Game,11780000,18
09/01/2022,Films (English),1,Don't Look Up,58200000,3
09/01/2022,Films (English),2,Mother/Android,29730000,1
09/01/2022,Films (English),3,The Lost Daughter,20370000,2
09/01/2022,Films (English),4,Back to the Outback,12430000,5
09/01/2022,Films (English),5,The Unforgivable,11340000,5
09/01/2022,Films (English),6,Red Notice,11090000,9
09/01/2022,Films (English),7,Just Go With It,10530000,2
09/01/2022,Films (English),8,Journey 2: The Mysterious Island,10520000,2
09/01/2022,Films (English),9,Seal Team,10310000,1
09/01/2022,Films (English),10,The Longest Yard,9960000,1
09/01/2022,Films (Non-English),1,The Wasteland,11930000,1
09/01/2022,Films (Non-English),2,Four to Dinner,7440000,1
09/01/2022,Films (Non-English),3,How I Fell in Love with a Gangster,6150000,1
09/01/2022,Films (Non-English),4,Chandigarh Kare Aashiqui,5300000,1
09/01/2022,Films (Non-English),5,Minnal Murali,5080000,3
09/01/2022,Films (Non-English),6,Lulli,4020000,2
09/01/2022,Films (Non-English),7,Vicky and Her Mystery,3830000,3
09/01/2022,Films (Non-English),8,Major Grom: Plague Doctor,2830000,5
09/01/2022,Films (Non-English),9,STAND BY ME Doraemon 2,2410000,3
09/01/2022,Films (Non-English),10,Sin Nombre,2300000,1
09/01/2022,TV (English),1,Cobra Kai,107810000,2
09/01/2022,TV (English),2,Stay Close,91180000,2
09/01/2022,TV (English),3,The Witcher,57340000,4
09/01/2022,TV (English),4,Emily in Paris,50540000,3
09/01/2022,TV (English),5,Manifest,30160000,7
09/01/2022,TV (English),6,The Witcher,28510000,5
09/01/2022,TV (English),7,Cobra Kai,23850000,2
09/01/2022,TV (English),8,Queer Eye,23060000,2
09/01/2022,TV (English),9,Cobra Kai,20100000,1
09/01/2022,TV (English),10,Cobra Kai,19340000,1
09/01/2022,TV (Non-English),1,Café con aroma de mujer,82980000,2
09/01/2022,TV (Non-English),2,Rebelde,33180000,1
09/01/2022,TV (Non-English),3,The Queen of Flow,28480000,8
09/01/2022,TV (Non-English),4,Single’s Inferno,25800000,2
09/01/2022,TV (Non-English),5,The Silent Sea,19710000,3
09/01/2022,TV (Non-English),6,Money Heist,18770000,12
09/01/2022,TV (Non-English),7,Our Beloved Summer,15950000,3
09/01/2022,TV (Non-English),8,Squid Game,14980000,17
09/01/2022,TV (Non-English),9,Kitz,14650000,1
09/01/2022,TV (Non-English),10,Daughter From Another Mother,13340000,3
02/01/2022,Films (English),1,Don't Look Up,152290000,2
02/01/2022,Films (English),2,The Unforgivable,21310000,4
02/01/2022,Films (English),3,The Lost Daughter,18260000,1
02/01/2022,Films (English),4,Back to the Outback,17720000,4
02/01/2022,Films (English),5,Red Notice,14540000,8
02/01/2022,Films (English),6,Spider-Man: Homecoming,14180000,3
02/01/2022,Films (English),7,Fast & Furious Presents: Hobbs & Shaw,12870000,2
02/01/2022,Films (English),8,Death to 2021,10380000,1
02/01/2022,Films (English),9,Journey 2: The Mysterious Island,5440000,1
02/01/2022,Films (English),10,Spider-Man,5430000,1
02/01/2022,Films (Non-English),1,Lulli,15210000,1
02/01/2022,Films (Non-English),2,Vicky and Her Mystery,15160000,2
02/01/2022,Films (Non-English),3,Minnal Murali,11440000,2
02/01/2022,Films (Non-English),4,STAND BY ME Doraemon 2,6730000,2
02/01/2022,Films (Non-English),5,1000 Miles from Christmas,6650000,2
02/01/2022,Films (Non-English),6,Intervenção,3650000,1
02/01/2022,Films (Non-English),7,The Whole Truth,2780000,5
02/01/2022,Films (Non-English),8,Anonymously Yours,2060000,4
02/01/2022,Films (Non-English),9,The Hand of God,2000000,3
02/01/2022,Films (Non-English),10,Sooryavanshi,1970000,5
02/01/2022,TV (English),1,Cobra Kai,120060000,1
02/01/2022,TV (English),2,The Witcher,94270000,3
02/01/2022,TV (English),3,Emily in Paris,91980000,2
02/01/2022,TV (English),4,The Witcher,42890000,4
02/01/2022,TV (English),5,Stay Close,31290000,1
02/01/2022,TV (English),6,Emily in Paris,25170000,2
02/01/2022,TV (English),7,Queer Eye,14420000,1
02/01/2022,TV (English),8,Cobra Kai,13450000,1
02/01/2022,TV (English),9,Crime Scene: The Times Square Killer,13070000,1
02/01/2022,TV (English),10,WWII in Color: Road to Victory,12680000,2
02/01/2022,TV (Non-English),1,The Silent Sea,47830000,2
02/01/2022,TV (Non-English),2,The Queen of Flow,29530000,7
02/01/2022,TV (Non-English),3,Money Heist,26310000,11
02/01/2022,TV (Non-English),4,Daughter From Another Mother,24000000,2
02/01/2022,TV (Non-English),5,Café con aroma de mujer,23230000,1
02/01/2022,TV (Non-English),6,Squid Game,18110000,16
02/01/2022,TV (Non-English),7,The Girl from Oslo,17460000,2
02/01/2022,TV (Non-English),8,Single’s Inferno,17150000,1
02/01/2022,TV (Non-English),9,Our Beloved Summer,13840000,2
02/01/2022,TV (Non-English),10,The Queen of Flow,11280000,7
26/12/2021,Films (English),1,Don't Look Up,111030000,1
26/12/2021,Films (English),2,The Unforgivable,26600000,3
26/12/2021,Films (English),3,Fast & Furious Presents: Hobbs & Shaw,26590000,1
26/12/2021,Films (English),4,Back to the Outback,24750000,3
26/12/2021,Films (English),5,Spider-Man: Homecoming,20000000,2
26/12/2021,Films (English),6,The Christmas Chronicles,12910000,4
26/12/2021,Films (English),7,Red Notice,12140000,7
26/12/2021,Films (English),8,A California Christmas: City Lights,11630000,2
26/12/2021,Films (English),9,The Christmas Chronicles: Part Two,10990000,3
26/12/2021,Films (English),10,A Boy Called Christmas,9120000,5
26/12/2021,Films (Non-English),1,Vicky and Her Mystery,8150000,1
26/12/2021,Films (Non-English),2,Grumpy Christmas,8140000,1
26/12/2021,Films (Non-English),3,1000 Miles from Christmas,6940000,1
26/12/2021,Films (Non-English),4,Minnal Murali,5990000,1
26/12/2021,Films (Non-English),5,STAND BY ME Doraemon 2,2990000,1
26/12/2021,Films (Non-English),6,The Whole Truth,2970000,4
26/12/2021,Films (Non-English),7,The Hand of God,2940000,2
26/12/2021,Films (Non-English),8,Anonymously Yours,2800000,3
26/12/2021,Films (Non-English),9,David and the Elves,2450000,3
26/12/2021,Films (Non-English),10,Sooryavanshi,2390000,4
26/12/2021,TV (English),1,The Witcher,168460000,2
26/12/2021,TV (English),2,Emily in Paris,107640000,1
26/12/2021,TV (English),3,The Witcher,60670000,3
26/12/2021,TV (English),4,Emily in Paris,18040000,1
26/12/2021,TV (English),5,Titans,12560000,3
26/12/2021,TV (English),6,Lost in Space,11650000,4
26/12/2021,TV (English),7,WWII in Color: Road to Victory,9510000,1
26/12/2021,TV (English),8,PAW Patrol,9360000,2
26/12/2021,TV (English),9,CoComelon,9260000,5
26/12/2021,TV (English),10,Maid,8750000,13
26/12/2021,TV (Non-English),1,Money Heist,33470000,10
26/12/2021,TV (Non-English),2,The Queen of Flow,30560000,6
26/12/2021,TV (Non-English),3,The Silent Sea,22230000,1
26/12/2021,TV (Non-English),4,The Girl from Oslo,19780000,1
26/12/2021,TV (Non-English),5,Squid Game,15100000,15
26/12/2021,TV (Non-English),6,The King's Affection,13050000,10
26/12/2021,TV (Non-English),7,Daughter From Another Mother,13040000,1
26/12/2021,TV (Non-English),8,The Queen of Flow,10810000,6
26/12/2021,TV (Non-English),9,Our Beloved Summer,9980000,1
26/12/2021,TV (Non-English),10,Carinha de Anjo,9420000,12
19/12/2021,Films (English),1,The Unforgivable,74440000,2
19/12/2021,Films (English),2,Back to the Outback,38990000,2
19/12/2021,Films (English),3,A California Christmas: City Lights,22860000,1
19/12/2021,Films (English),4,Red Notice,12710000,6
19/12/2021,Films (English),5,The Shack,11730000,1
19/12/2021,Films (English),6,Spider-Man: Homecoming,9370000,1
19/12/2021,Films (English),7,John Wick: Chapter 3 - Parabellum,8790000,1
19/12/2021,Films (English),8,The Christmas Chronicles,8430000,3
19/12/2021,Films (English),9,The Christmas Chronicles: Part Two,7840000,2
19/12/2021,Films (English),10,A Boy Called Christmas,7270000,4
19/12/2021,Films (Non-English),1,Anonymously Yours,12020000,2
19/12/2021,Films (Non-English),2,The Hand of God,7710000,1
19/12/2021,Films (Non-English),3,Two,6000000,2
19/12/2021,Films (Non-English),4,The Whole Truth,4640000,3
19/12/2021,Films (Non-English),5,Sooryavanshi,4000000,3
19/12/2021,Films (Non-English),6,Bordertown: Mural Murders,3540000,3
19/12/2021,Films (Non-English),7,David and the Elves,3360000,2
19/12/2021,Films (Non-English),8,Spoiled Brats,3350000,4
19/12/2021,Films (Non-English),9,Escape From Mogadishu,3260000,1
19/12/2021,Films (Non-English),10,Green Snake,2970000,3
19/12/2021,TV (English),1,The Witcher,142430000,1
19/12/2021,TV (English),2,The Witcher,49180000,2
19/12/2021,TV (English),3,Titans,23810000,2
19/12/2021,TV (English),4,Lost in Space,19010000,3
19/12/2021,TV (English),5,Selling Tampa,14230000,1
19/12/2021,TV (English),6,Lost in Space,11960000,3
19/12/2021,TV (English),7,Maid,10620000,12
19/12/2021,TV (English),8,Titans,10340000,1
19/12/2021,TV (English),9,Arcane,10010000,6
19/12/2021,TV (English),10,CoComelon,10000000,4
19/12/2021,TV (Non-English),1,Money Heist,55010000,9
19/12/2021,TV (Non-English),2,The Queen of Flow,39980000,5
19/12/2021,TV (Non-English),3,The King's Affection,18120000,9
19/12/2021,TV (Non-English),4,Squid Game,15430000,14
19/12/2021,TV (Non-English),5,The Queen of Flow,12970000,5
19/12/2021,TV (Non-English),6,Money Heist,12590000,7
19/12/2021,TV (Non-English),7,Carinha de Anjo,11290000,11
19/12/2021,TV (Non-English),8,Aranyak,10360000,1
19/12/2021,TV (Non-English),9,"Yo soy Betty, la fea",8010000,8
19/12/2021,TV (Non-English),10,Hometown Cha-Cha-Cha,7520000,16
12/12/2021,Films (English),1,The Unforgivable,85860000,1
12/12/2021,Films (English),2,Red Notice,18010000,5
12/12/2021,Films (English),3,Back to the Outback,16170000,1
12/12/2021,Films (English),4,The Power of the Dog,13280000,2
12/12/2021,Films (English),5,Single All The Way,11140000,2
12/12/2021,Films (English),6,A Boy Called Christmas,10750000,3
12/12/2021,Films (English),7,A Castle For Christmas,10050000,3
12/12/2021,Films (English),8,Redemption Day,9790000,1
12/12/2021,Films (English),9,Bruised,8970000,3
12/12/2021,Films (English),10,The Christmas Chronicles,8510000,2
12/12/2021,Films (Non-English),1,The Whole Truth,10540000,2
12/12/2021,Films (Non-English),2,Spoiled Brats,9820000,3
12/12/2021,Films (Non-English),3,David and the Elves,9110000,1
12/12/2021,Films (Non-English),4,Anonymously Yours,8970000,1
12/12/2021,Films (Non-English),5,Sooryavanshi,8840000,2
12/12/2021,Films (Non-English),6,Green Snake,6920000,2
12/12/2021,Films (Non-English),7,More the Merrier,6010000,2
12/12/2021,Films (Non-English),8,Bordertown: Mural Murders,5560000,2
12/12/2021,Films (Non-English),9,Two,5020000,1
12/12/2021,Films (Non-English),10,The Claus Family,2610000,6
12/12/2021,TV (English),1,Lost in Space,35820000,2
12/12/2021,TV (English),2,Titans,26000000,1
12/12/2021,TV (English),3,Lost in Space,23200000,2
12/12/2021,TV (English),4,Jurassic World Camp Cretaceous,17420000,2
12/12/2021,TV (English),5,Lost in Space,15240000,1
12/12/2021,TV (English),6,The Witcher,14180000,1
12/12/2021,TV (English),7,Arcane,13470000,5
12/12/2021,TV (English),8,Maid,12540000,11
12/12/2021,TV (English),9,True Story,12160000,3
12/12/2021,TV (English),10,Selling Sunset,11100000,3
12/12/2021,TV (Non-English),1,Money Heist,147950000,8
12/12/2021,TV (Non-English),2,The Queen of Flow,49990000,4
12/12/2021,TV (Non-English),3,Money Heist,19870000,6
12/12/2021,TV (Non-English),4,Squid Game,18170000,13
12/12/2021,TV (Non-English),5,The King's Affection,16650000,8
12/12/2021,TV (Non-English),6,The Queen of Flow,14520000,4
12/12/2021,TV (Non-English),7,Carinha de Anjo,11230000,10
12/12/2021,TV (Non-English),8,Hometown Cha-Cha-Cha,9680000,15
12/12/2021,TV (Non-English),9,Hellbound,9470000,4
12/12/2021,TV (Non-English),10,Money Heist,8170000,3
05/12/2021,Films (English),1,The Power of the Dog,27200000,1
05/12/2021,Films (English),2,A Castle For Christmas,25550000,2
05/12/2021,Films (English),3,Red Notice,25400000,4
05/12/2021,Films (English),4,Bruised,23370000,2
05/12/2021,Films (English),5,A Boy Called Christmas,19360000,2
05/12/2021,Films (English),6,Single All The Way,13820000,1
05/12/2021,Films (English),7,14 Peaks: Nothing Is Impossible,12170000,1
05/12/2021,Films (English),8,The Christmas Chronicles,7940000,1
05/12/2021,Films (English),9,The Christmas Chronicles: Part Two,7790000,1
05/12/2021,Films (English),10,Love Hard,7240000,5
05/12/2021,Films (Non-English),1,Spoiled Brats,26730000,2
05/12/2021,Films (Non-English),2,The Whole Truth,11950000,1
05/12/2021,Films (Non-English),3,Green Snake,10650000,1
05/12/2021,Films (Non-English),4,More the Merrier,10320000,1
05/12/2021,Films (Non-English),5,Sooryavanshi,7110000,1
05/12/2021,Films (Non-English),6,Outlaws,3200000,2
